City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,port elizabeth,-33.918,25.5701,15.16,88,0,5.66,ZA,2023-07-22 11:33:48
1,yellowknife,62.456,-114.3525,19.29,63,75,3.6,CA,2023-07-22 11:30:32
2,hithadhoo,-0.6,73.0833,28.17,74,71,2.5,MV,2023-07-22 11:30:03
3,puerto natales,-51.7236,-72.4875,0.29,76,28,1.67,CL,2023-07-22 11:33:49
4,usogorsk,63.4106,48.6872,14.59,88,46,1.32,RU,2023-07-22 11:33:49
5,albany,42.6001,-73.9662,26.08,61,0,0.89,US,2023-07-22 11:33:49
6,tura,25.5198,90.2201,24.67,96,88,2.01,IN,2023-07-22 11:33:49
7,punta arenas,-53.15,-70.9167,1.54,70,19,4.75,CL,2023-07-22 11:32:01
8,puerto ayacucho,5.6639,-67.6236,26.0,84,97,2.42,VE,2023-07-22 11:30:06
9,longyearbyen,78.2186,15.6401,8.91,71,40,3.6,SJ,2023-07-22 11:33:50
10,blackmans bay,-43.0167,147.3167,8.74,88,73,1.68,AU,2023-07-22 11:33:50
11,crane,31.3974,-102.3501,31.39,36,100,3.15,US,2023-07-22 11:33:50
12,avarua,-21.2078,-159.775,22.03,88,100,6.17,CK,2023-07-22 11:33:50
13,nizhnesortymskiy,62.4397,71.7603,18.7,68,100,4.53,RU,2023-07-22 11:30:07
14,colorines,19.2,-100.1667,21.39,77,91,1.61,MX,2023-07-22 11:33:51
15,djibo,14.1022,-1.6306,37.28,28,88,4.64,BF,2023-07-22 11:33:51
16,rondonopolis,-16.4708,-54.6356,33.44,23,0,4.78,BR,2023-07-22 11:29:22
17,mount isa,-20.7333,139.5,10.87,54,0,5.66,AU,2023-07-22 11:33:51
18,st. john's,47.5649,-52.7093,27.66,65,20,7.72,CA,2023-07-22 11:30:08
19,aljezur,37.3191,-8.8033,21.79,71,6,6.47,PT,2023-07-22 11:33:51
20,prado,-17.3411,-39.2208,24.36,71,39,4.38,BR,2023-07-22 11:33:52
21,talnakh,69.4865,88.3972,18.45,88,100,2.44,RU,2023-07-22 11:30:09
22,bethel,41.3712,-73.414,27.86,60,20,5.14,US,2023-07-22 11:33:52
23,conchal,-22.3303,-47.1725,27.08,31,0,1.14,BR,2023-07-22 11:33:52
24,happy valley-goose bay,53.3168,-60.3315,23.17,64,100,4.12,CA,2023-07-22 11:33:52
25,sitka,57.0531,-135.33,14.94,82,100,0.0,US,2023-07-22 11:33:53
26,vilyuchinsk,52.9306,158.4028,14.15,86,72,3.52,RU,2023-07-22 11:30:10
27,puerto ayora,-0.7393,-90.3518,29.98,77,51,5.33,EC,2023-07-22 11:31:21
28,waitangi,-43.9535,-176.5597,11.01,96,100,3.13,NZ,2023-07-22 11:30:11
29,rio grande,-32.035,-52.0986,29.06,81,100,7.2,BR,2023-07-22 11:29:20
